Descricao;Endereco;Area;Quartos;WC;Vagas;Valor;Condominio;Link
Apartamento com 4 Quartos à Venda, 157m²;Rua Hélio Pradines, 391 - Ponta Verde, Maceió - AL;157;4;4;4;R$ 800.000;R$ 1.600;https://www.vivareal.com.br/imovel/apartamento-4-quartos-ponta-verde-bairros-maceio-com-garagem-157m2-venda-RS800000-id-2520220873/
Smart 445;Rua Senador Rui Palmeira, 445 - Ponta Verde, Maceió - AL;59-81;2-3;2-3;1-2;R$ 405.900;;https://www.vivareal.com.br/imoveis-lancamento/smart-445-2515872919/
Apartamento com 4 Quartos à Venda, 136m²;Rua Doutor Noel Nutels, 104 - Ponta Verde, Maceió - AL;136;4;3;2;R$ 560.000;R$ 990;https://www.vivareal.com.br/imovel/apartamento-4-quartos-ponta-verde-bairros-maceio-com-garagem-136m2-venda-RS560000-id-2513941192/
Apartamento com 3 Quartos à Venda, 105m²;Rua Estudante Jader Izídio Malta de Araújo, 70 - Jatiúca, Maceió - AL;105;3;2;1;R$ 430.000;R$ 690;https://www.vivareal.com.br/imovel/apartamento-3-quartos-jatiuca-bairros-maceio-com-garagem-105m2-venda-RS430000-id-2526093608/
Apartamento com 2 Quartos à Venda, 55m²;Avenida Jorge Barros, 1180 - Santa Amélia, Maceió - AL;55;2;1;1;R$ 133.000;R$ 250;https://www.vivareal.com.br/imovel/apartamento-2-quartos-santa-amelia-bairros-maceio-com-garagem-55m2-venda-RS133000-id-2531963581/
Apartamento com 2 Quartos à Venda, 56m²;Avenida Juca Sampaio, 374 - Feitosa, Maceió - AL;56;2;1;1;R$ 140.000;R$ 263;https://www.vivareal.com.br/imovel/apartamento-2-quartos-feitosa-bairros-maceio-com-garagem-56m2-venda-RS140000-id-2513003058/
Apartamento com 4 Quartos à Venda, 133m²;Avenida Senador Rui Palmeira, 150 - Ponta Verde, Maceió - AL;133;4;3;1;R$ 380.000;R$ 900;https://www.vivareal.com.br/imovel/apartamento-4-quartos-ponta-verde-bairros-maceio-com-garagem-133m2-venda-RS380000-id-2538328881/
Apartamento com 2 Quartos à Venda, 68m²;Rua Olindina Campos Teixeira, 52 - Jatiúca, Maceió - AL;68;2;2;--;R$ 347.000;;https://www.vivareal.com.br/imovel/apartamento-2-quartos-jatiuca-bairros-maceio-68m2-venda-RS347000-id-2510140779/
Mansões Galba Aciolly;Avenida Silvio Carlos Viana, 0 - Ponta Verde, Maceió - AL;424;4;5;5-6;R$ 7.818.984;;https://www.vivareal.com.br/imoveis-lancamento/mansoes-galba-aciolly-2532112993/
Apartamento com 3 Quartos à Venda, 79m²;Rua Elias Ramos de Araújo, 264 - Cruz das Almas, Maceió - AL;79;3;2;1;R$ 300.000;R$ 340;https://www.vivareal.com.br/imovel/apartamento-3-quartos-cruz-das-almas-bairros-maceio-com-garagem-79m2-venda-RS300000-id-2527771963/
Apartamento com  Quarto à Venda, 45m²;Rua Paulina Maria Mendonça, 165 - Jatiúca, Maceió - AL;45;1;1;1;R$ 225.000;;https://www.vivareal.com.br/imovel/apartamento-1-quartos-jatiuca-bairros-maceio-com-garagem-45m2-venda-RS225000-id-2528913779/
Apartamento com  Quarto à Venda, 50m²;Avenida Doutor José Sampaio Luz - Ponta Verde, Maceió - AL;50;1;2;1;R$ 265.000;R$ 650;https://www.vivareal.com.br/imovel/apartamento-1-quartos-ponta-verde-bairros-maceio-com-garagem-50m2-venda-RS265000-id-2469377691/
Apartamento com 3 Quartos à Venda, 107m²;Rua Barão José Miguel, 81 - Farol, Maceió - AL;107;3;3;2;R$ 530.000;R$ 650;https://www.vivareal.com.br/imovel/apartamento-3-quartos-farol-bairros-maceio-com-garagem-107m2-venda-RS530000-id-2510824313/
Apartamento com 2 Quartos à Venda, 78m²;Jatiúca, Maceió - AL;78;2;3;1;R$ 580.000;R$ 380;https://www.vivareal.com.br/imovel/apartamento-2-quartos-jatiuca-bairros-maceio-com-garagem-78m2-venda-RS580000-id-2492607104/
Apartamento com 3 Quartos à Venda, 136m²;Rua Machado Lemos - Ponta Verde, Maceió - AL;136;3;4;2;R$ 850.000;;https://www.vivareal.com.br/imovel/apartamento-3-quartos-ponta-verde-bairros-maceio-com-garagem-136m2-venda-RS850000-id-2547530574/
Edifício Aloísio Tavares;Rua Doutora Rosa Cabús, 104 - Jatiúca, Maceió - AL;40-59;1-2;1-2;1;;;https://www.vivareal.com.br/imoveis-lancamento/edificio-aloisio-tavares-2485803248/
Apartamento com 4 Quartos à Venda, 156m²;Rua Deputado José Lages, 546 - Ponta Verde, Maceió - AL;156;4;4;2;R$ 1.100.000;R$ 1.200;https://www.vivareal.com.br/imovel/apartamento-4-quartos-ponta-verde-bairros-maceio-com-garagem-156m2-venda-RS1100000-id-2543838082/
Apartamento com 3 Quartos à Venda, 114m²;Avenida General Luiz de França Albuquerque - Guaxuma, Maceió - AL;114;3;3;2;R$ 900.000;R$ 720;https://www.vivareal.com.br/imovel/apartamento-3-quartos-guaxuma-bairros-maceio-com-garagem-114m2-venda-RS900000-id-2540218880/
Apartamento com 3 Quartos à Venda, 329m²;Avenida Senador Rui Palmeira, 562 - Ponta Verde, Maceió - AL;329;3;3;4;R$ 3.000.000;R$ 1.800;https://www.vivareal.com.br/imovel/cobertura-3-quartos-ponta-verde-bairros-maceio-com-garagem-329m2-venda-RS3000000-id-2538749509/
Apartamento com 3 Quartos à Venda, 83m²;Rua José Lourenço de Albuquerque, 515 - Jatiúca, Maceió - AL;83;3;3;1;R$ 480.000;;https://www.vivareal.com.br/imovel/apartamento-3-quartos-jatiuca-bairros-maceio-com-garagem-83m2-venda-RS480000-id-2547902665/
